date,name,link
11/01/2019,The Sea Shore,https://drive.google.com/file/d/1-9zF5XN16AAQnLB7osR24TELVlPImg4B/preview?usp=drivesdk
12/01/2019,The Small Playground,https://drive.google.com/file/d/1-GpLka6xVZIcHew4Nn-D2YXDHnsuXbRM/preview?usp=drivesdk
18/01/2019,The Last Breath,https://drive.google.com/file/d/1-Z55FNk-01Bx47ji4ZS9n9BgUpZdGkyG/preview?usp=drivesdk
19/01/2019,The Thirst of Glimpse,https://drive.google.com/file/d/1-XjULOOhLe_TInMnU3DgP6RPipd6luhl/preview?usp=drivesdk
17/02/2019,The Mighty Knights,https://drive.google.com/file/d/1-V-QQCssK02uG1wVg6zOz5uL6FFdAVhn/preview?usp=drivesdk
27/03/2019,Will you still stay beside me?,https://drive.google.com/file/d/1-044SR20kwWZ9Z2DHu8lDL_6Gbvr2rYW/preview?usp=drivesdk
02/07/2019,Tug Of War,https://drive.google.com/file/d/1--W51nOg5-Bmv-ND046y5low8ZMUmlfI/preview?usp=drivesdk
15/08/2019,द्रौपदी की रक्षा,https://drive.google.com/file/d/1-1kg3eFyj0j7M6U7PUbOOuJKHh6H_Nm4/preview?usp=drivesdk
25/08/2019,So Glad It Happened,https://drive.google.com/file/d/1-jWrmkpGGScRhNvftyFIpqyzax02d7ux/preview?usp=drivesdk
07/09/2019,The Great Erosion,https://drive.google.com/file/d/1-8NIHojMLIC0tT3AgSuZtC18qDd-n0FB/preview?usp=drivesdk
23/10/2019,The Ultimate Hunter,https://drive.google.com/file/d/1-06WdtXkqvQx04FH9Zvrtr060t4l6uZj/preview?usp=drivesdk
17/11/2019,Far and Near,https://drive.google.com/file/d/1-cGbRweEJeV3iNb_Nc0jLvUJ9ilmNneL/preview?usp=drivesdk
18/11/2019,Listen to Understand,https://drive.google.com/file/d/1-kFJtWSxA39CT3TfQa0ZrmAJJcbgjZuf/preview?usp=drivesdk
20/11/2019,The Reins To Emotions,https://drive.google.com/file/d/1-sCWIPN_xLvvuwN_IpGcBFPKybXxO4PM/preview?usp=drivesdk
25/11/2019,Long Way to Go Alone,https://drive.google.com/file/d/1-wKwFPdmc8pmnkpX78aJszyFqEIrjgac/preview?usp=drivesdk
27/11/2019,Stuck in the Past,https://drive.google.com/file/d/10-8i2Z1pLksVF_tI8pa-dbUlMbCdQpyT/preview?usp=drivesdk
28/11/2019,Not of My Kind,https://drive.google.com/file/d/100LoxSyEJN3zYby0ePg-vyMb7T240b_o/preview?usp=drivesdk
29/11/2019,Being Low,https://drive.google.com/file/d/100nI0IOrAXkSHgn9oJvlPuNw85Zu1rom/preview?usp=drivesdk
30/11/2019,And we call ourselves HUMANS?,https://drive.google.com/file/d/105pb_AmBRy_NxefAiZh5zMCT6GWU4NAT/preview?usp=drivesdk
15/12/2019,My kingdom of darkness,https://drive.google.com/file/d/112c5baNJbtqqXzrkYDpAjzKaQO3J1h8y/preview?usp=drivesdk
17/12/2019,Grinded,https://drive.google.com/file/d/13K0O3E6NkaDtKdFR-lUltgk-E4czt0HV/preview?usp=drivesdk
09/03/2020,कुछ रंग ऐसे भी,https://drive.google.com/file/d/13PYkQuE7HbQLSHkgIzzMiEIhN18RXEI1/preview?usp=drivesdk
01/03/2021,Life is?,https://drive.google.com/file/d/100zQs_aEkCB5rBluBtjFOqxwSsL8ESRD/preview?usp=drivesdk
19/03/2021,Reality of illusions,https://drive.google.com/file/d/1CgBj5kUOSh1TNbtPSUIW4IaPrt07HFde/preview?usp=drivesdk
28/11/2021,Let it go or Bury it down,https://drive.google.com/file/d/1--EM_qcyiljtq7sxPGP7hvK6bCH2XV5b/view?usp=sharing